hashed_pk,efi_key,unit,company_key,member_firm_code,profit_center_code,cost_center_code,gl_account_code,fe_person_number,fe_practice_group_key,fe_office_key,fe_team_key,lead_partner_person_number,lead_partner_practice_group_key,lead_partner_office_key,lead_partner_team_key,matter_number,vendor_code,document_text,document_date,document_number,transaction_document_type_key,posting_period,posting_date,document_currency_code,actual_amount_dc,office_currency_code,actual_amount_oc,group_currency_code,actual_amount_gc,budget_amount_gc,forecast_amount_gc,last_updated_date_utc_at_source,_ingest_date,_source_file,_source_system,_table,_lineage_id,_effective_start_datetime,_effective_end_datetime,_current_flag
02141c2794c418e6ac761bb1366f1e11,-1,Budget,CA11,NRFC,MTR1,MTR1DR1754,4000000000,Unknown,DR,MTR1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,25592.29148,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
02141c2794c418e6ac761bb1366f1e11,-1,Budget,CA11,NRFC,MTR1,MTR1DR1754,4000000000,Unknown,DR,MTR1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,55225.47108,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
02141c2794c418e6ac761bb1366f1e11,-1,Budget,CA11,NRFC,MTR1,MTR1DR1754,4000000000,Unknown,DR,MTR1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,63307.24734,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
02141c2794c418e6ac761bb1366f1e11,-1,Budget,CA11,NRFC,MTR1,MTR1DR1754,4000000000,Unknown,DR,MTR1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,53878.50837,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
02141c2794c418e6ac761bb1366f1e11,-1,Budget,CA11,NRFC,MTR1,MTR1DR1754,4000000000,Unknown,DR,MTR1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
05e343da3ce79a14d3e8ccce6cb56bab,-1,Budget,CA11,NRFC,MTR3,MTR3RE2500,4000000000,Unknown,RE,MTR3,2500,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,29375.92385,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
05e343da3ce79a14d3e8ccce6cb56bab,-1,Budget,CA11,NRFC,MTR3,MTR3RE2500,4000000000,Unknown,RE,MTR3,2500,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
26ee80ea61acf3a3a989660a96448451,-1,Budget,CA11,NRFC,QUE1,QUE1DR1754,4000000000,Unknown,DR,QUE1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,45785.41841,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
26ee80ea61acf3a3a989660a96448451,-1,Budget,CA11,NRFC,QUE1,QUE1DR1754,4000000000,Unknown,DR,QUE1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,43954.00168,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
26ee80ea61acf3a3a989660a96448451,-1,Budget,CA11,NRFC,QUE1,QUE1DR1754,4000000000,Unknown,DR,QUE1,1754,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,47311.59903,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
600b974d65457e0761a1cea29781a9a1,-1,Actual,SG11,NRFEMEA,SIN1,SIN1FN3782,6230200000,Unknown,FN,SIN1,3782,0,#,#,#,#,#,Accrued Audit Fee for Dec25,2026-02-28,100110011,1Z,202603,2026-03-01,SGD,-5625.77,SGD,-5625.77,USD,-4333.282,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
600b974d65457e0761a1cea29781a9a1,-1,Actual,SG11,NRFEMEA,SIN1,SIN1FN3782,6230200000,Unknown,FN,SIN1,3782,0,#,#,#,#,#,Accrued Audit Fee for Jan25,2026-02-28,100110011,1Z,202603,2026-03-01,SGD,-5315.29,SGD,-5315.29,USD,-4094.133,0.0,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
9d6ae7e944bbf4cf62014cbafa6168fa,-1,Budget,CA11,NRFC,TOR1,TOR1EL2000,4000000000,Unknown,EL,TOR1,2000,Unknown,,,,Unknown,#,#,,Unknown,BGT,202602,,Unknown,0.0,Unknown,0.0,USD,0.0,71429.74714,0.0,2026-03-30 00:00:00,2026-06-22,EFI.csv,abfss://a7ad27b1-6ad7-440f-bf78-030662ef90fd@onelake.dfs.fabric.microsoft.com/6c777342-6ab0-4f34-8ec8-4eb29b1a8ea7/Files/transactional_data/EFI.csv,efi,44444444-4444-4444-aaaa-aaaaaaaaaaaa,2026-06-22 15:47:28.166879,9999-12-31 23:59:59,true
